name,longitude,latitude
"200185 - St. John's Road, Clapham Junction",-0.16829214,51.46239255
"002694 - Clapham Common Station, Clapham Common",-0.13922146,51.461388
"300101 - Little Brook Green, Brook Green",-0.223868,51.496664
"002648 - Waterloo Bridge, South Bank",-0.113656543,51.50535447
"003463 - Argyll Road, Kensington",-0.195455928,51.50040123
"200001 - Limerston Street, West Chelsea",-0.18119,51.485587
"001032 - New Inn Yard, Shoreditch",-0.079248081,51.52452699
"200195 - St Martins Close, Camden Town",-0.138535,51.538792
"300085 - Freston Road, Avondale",-0.219486603,51.5129814
"000975 - Theobald's Road , Holborn",-0.116688468,51.52059681
"001098 - Lower Thames Street, Monument",-0.084985356,51.50930161
"001030 - Lisson Grove, St. John's Wood",-0.172190727,51.52644828
"001217 - Serpentine Car Park, Hyde Park",-0.17306032,51.505014
"200022 - Saunders Ness Road, Cubitt Town",-0.0090011,51.487129
"200084 - Doddington Grove, Kennington",-0.102996299,51.48692917
"001210 - Nevern Place, Earl's Court",-0.194757949,51.49334336
"200044 - New Fetter Lane, Holborn",-0.107987,51.517428
"200175 - Wandsworth Rd, Isley Court, Wandsworth Road",-0.141812513,51.46925984
"002690 - City Road, Angel",-0.100168,51.530344
"001003 - Chapel Place, Marylebone",-0.147203711,51.51530805
"200006 - Hewison Street, Old Ford",-0.028155,51.533283
"000998 - Lollard Street, Vauxhall",-0.114934001,51.49288067
"001056 - Finsbury Square , Moorgate",-0.085634242,51.52096262
"003437 - Curzon Street, Mayfair",-0.145904427,51.50706909
"022160 - Chelsea Bridge, Pimlico",-0.149004,51.485821
"200003 - Cheshire Street, Bethnal Green",-0.065076,51.52388
"003470 - Great Percy Street, Clerkenwell",-0.115480888,51.52891573
"003435 - Gloucester Road (Central), South Kensington",-0.183289032,51.49646288
"300219 - Here East South, Queen Elizabeth Olympic Park",-0.0205975904647,51.5465327935
"001183 - Bramham Gardens, Earl's Court",-0.19039362,51.49016361
"200254 - Teviot Street, Poplar",-0.011662,51.518811
"300027 - Mile End Park Leisure Centre, Mile End",-0.032566533,51.52059714
"003424 - Broadcasting House, Marylebone",-0.144228881,51.51811784
"200132 - Gaywood  Street, Elephant & Castle",-0.104193,51.49605
"200096 - Green Park Station, Mayfair",-0.142844,51.506613
"200170 - Esmond Street, Putney",-0.211468596,51.46231278
"000963 - Bankside Mix, Bankside",-0.100186337,51.50581776
"300009 - World's End Place, West Chelsea",-0.18027465,51.48180515
"200197 - Barons Court Station, West Kensington",-0.215087092,51.49021762
"300029 - Lee Valley VeloPark, Queen Elizabeth Olympic Park",-0.015717614,51.549369
